start_station_id,start_station_name,end_station_id,end_station_name,total_trips_subscriber
9,Japantown,12,SJSU 4th at San Carlos,16
9,Japantown,13,St James Park,25
9,Japantown,14,Arena Green / SAP Center,8
9,Japantown,84,Ryland Park,64
9,Japantown,16,SJSU - San Salvador at 9th,4
9,Japantown,80,Santa Clara County Civic Center,9
10,San Jose City Hall,2,San Jose Diridon Caltrain Station,290
10,San Jose City Hall,3,San Jose Civic Center,67
10,San Jose City Hall,4,Santa Clara at Almaden,9
10,San Jose City Hall,5,Adobe on Almaden,15
10,San Jose City Hall,6,San Pedro Square,27
10,San Jose City Hall,7,Paseo de San Antonio,32
10,San Jose City Hall,8,San Salvador at 1st,53
10,San Jose City Hall,9,Japantown,51
10,San Jose City Hall,10,San Jose City Hall,64
10,San Jose City Hall,11,MLK Library,20
10,San Jose City Hall,12,SJSU 4th at San Carlos,26
10,San Jose City Hall,13,St James Park,18
10,San Jose City Hall,14,Arena Green / SAP Center,5
10,San Jose City Hall,84,Ryland Park,7
10,San Jose City Hall,16,SJSU - San Salvador at 9th,35
10,San Jose City Hall,80,Santa Clara County Civic Center,7
11,MLK Library,2,San Jose Diridon Caltrain Station,659
11,MLK Library,3,San Jose Civic Center,24
11,MLK Library,4,Santa Clara at Almaden,9
11,MLK Library,5,Adobe on Almaden,6
11,MLK Library,6,San Pedro Square,19
11,MLK Library,7,Paseo de San Antonio,20
11,MLK Library,8,San Salvador at 1st,22
11,MLK Library,9,Japantown,95
11,MLK Library,10,San Jose City Hall,12
11,MLK Library,11,MLK Library,21
11,MLK Library,12,SJSU 4th at San Carlos,15
11,MLK Library,13,St James Park,21
11,MLK Library,14,Arena Green / SAP Center,4
11,MLK Library,84,Ryland Park,11
11,MLK Library,16,SJSU - San Salvador at 9th,19
11,MLK Library,80,Santa Clara County Civic Center,6
12,SJSU 4th at San Carlos,2,San Jose Diridon Caltrain Station,67
12,SJSU 4th at San Carlos,3,San Jose Civic Center,23
12,SJSU 4th at San Carlos,4,Santa Clara at Almaden,109
12,SJSU 4th at San Carlos,5,Adobe on Almaden,14
12,SJSU 4th at San Carlos,6,San Pedro Square,18
12,SJSU 4th at San Carlos,7,Paseo de San Antonio,14
12,SJSU 4th at San Carlos,8,San Salvador at 1st,13
12,SJSU 4th at San Carlos,9,Japantown,13
12,SJSU 4th at San Carlos,10,San Jose City Hall,3
12,SJSU 4th at San Carlos,11,MLK Library,14
12,SJSU 4th at San Carlos,12,SJSU 4th at San Carlos,10
12,SJSU 4th at San Carlos,13,St James Park,46
12,SJSU 4th at San Carlos,14,Arena Green / SAP Center,2
12,SJSU 4th at San Carlos,16,SJSU - San Salvador at 9th,6
12,SJSU 4th at San Carlos,84,Ryland Park,7
12,SJSU 4th at San Carlos,80,Santa Clara County Civic Center,2
13,St James Park,2,San Jose Diridon Caltrain Station,325
13,St James Park,3,San Jose Civic Center,1
13,St James Park,4,Santa Clara at Almaden,4
13,St James Park,5,Adobe on Almaden,13
13,St James Park,6,San Pedro Square,81
13,St James Park,7,Paseo de San Antonio,34
13,St James Park,8,San Salvador at 1st,47
13,St James Park,9,Japantown,46
13,St James Park,10,San Jose City Hall,21
13,St James Park,11,MLK Library,43
13,St James Park,12,SJSU 4th at San Carlos,57
13,St James Park,13,St James Park,23
13,St James Park,14,Arena Green / SAP Center,12
13,St James Park,84,Ryland Park,5
13,St James Park,16,SJSU - San Salvador at 9th,6
13,St James Park,80,Santa Clara County Civic Center,18
14,Arena Green / SAP Center,2,San Jose Diridon Caltrain Station,13
14,Arena Green / SAP Center,3,San Jose Civic Center,4
14,Arena Green / SAP Center,4,Santa Clara at Almaden,242
14,Arena Green / SAP Center,5,Adobe on Almaden,3
