start_station_id,start_station_name,end_station_id,end_station_name,total_trips_customer
9,Japantown,8,San Salvador at 1st,17
9,Japantown,9,Japantown,37
9,Japantown,10,San Jose City Hall,13
9,Japantown,11,MLK Library,9
9,Japantown,12,SJSU 4th at San Carlos,1
9,Japantown,13,St James Park,9
9,Japantown,14,Arena Green / SAP Center,9
9,Japantown,16,SJSU - San Salvador at 9th,2
9,Japantown,84,Ryland Park,4
9,Japantown,80,Santa Clara County Civic Center,2
10,San Jose City Hall,2,San Jose Diridon Caltrain Station,5
10,San Jose City Hall,3,San Jose Civic Center,9
10,San Jose City Hall,4,Santa Clara at Almaden,6
10,San Jose City Hall,5,Adobe on Almaden,4
10,San Jose City Hall,6,San Pedro Square,7
10,San Jose City Hall,7,Paseo de San Antonio,3
10,San Jose City Hall,8,San Salvador at 1st,8
10,San Jose City Hall,9,Japantown,12
10,San Jose City Hall,10,San Jose City Hall,25
10,San Jose City Hall,11,MLK Library,4
10,San Jose City Hall,12,SJSU 4th at San Carlos,2
10,San Jose City Hall,13,St James Park,1
10,San Jose City Hall,14,Arena Green / SAP Center,1
10,San Jose City Hall,84,Ryland Park,2
10,San Jose City Hall,16,SJSU - San Salvador at 9th,14
10,San Jose City Hall,80,Santa Clara County Civic Center,3
11,MLK Library,2,San Jose Diridon Caltrain Station,9
11,MLK Library,3,San Jose Civic Center,2
11,MLK Library,4,Santa Clara at Almaden,4
11,MLK Library,5,Adobe on Almaden,2
11,MLK Library,6,San Pedro Square,16
11,MLK Library,7,Paseo de San Antonio,4
11,MLK Library,8,San Salvador at 1st,2
11,MLK Library,76,Market at 4th,1
11,MLK Library,9,Japantown,10
11,MLK Library,10,San Jose City Hall,6
11,MLK Library,11,MLK Library,45
11,MLK Library,12,SJSU 4th at San Carlos,5
11,MLK Library,13,St James Park,9
11,MLK Library,14,Arena Green / SAP Center,2
11,MLK Library,84,Ryland Park,5
11,MLK Library,16,SJSU - San Salvador at 9th,8
11,MLK Library,80,Santa Clara County Civic Center,4
11,MLK Library,28,Mountain View Caltrain Station,2
12,SJSU 4th at San Carlos,2,San Jose Diridon Caltrain Station,8
12,SJSU 4th at San Carlos,3,San Jose Civic Center,11
12,SJSU 4th at San Carlos,4,Santa Clara at Almaden,5
12,SJSU 4th at San Carlos,5,Adobe on Almaden,2
12,SJSU 4th at San Carlos,6,San Pedro Square,6
12,SJSU 4th at San Carlos,7,Paseo de San Antonio,4
12,SJSU 4th at San Carlos,8,San Salvador at 1st,12
12,SJSU 4th at San Carlos,9,Japantown,4
12,SJSU 4th at San Carlos,10,San Jose City Hall,10
12,SJSU 4th at San Carlos,11,MLK Library,7
12,SJSU 4th at San Carlos,12,SJSU 4th at San Carlos,22
12,SJSU 4th at San Carlos,13,St James Park,7
12,SJSU 4th at San Carlos,14,Arena Green / SAP Center,6
12,SJSU 4th at San Carlos,84,Ryland Park,4
12,SJSU 4th at San Carlos,16,SJSU - San Salvador at 9th,6
13,St James Park,2,San Jose Diridon Caltrain Station,10
13,St James Park,3,San Jose Civic Center,1
13,St James Park,4,Santa Clara at Almaden,5
13,St James Park,5,Adobe on Almaden,1
13,St James Park,6,San Pedro Square,3
13,St James Park,7,Paseo de San Antonio,8
13,St James Park,8,San Salvador at 1st,5
13,St James Park,9,Japantown,13
13,St James Park,10,San Jose City Hall,5
13,St James Park,11,MLK Library,11
13,St James Park,12,SJSU 4th at San Carlos,6
13,St James Park,13,St James Park,23
13,St James Park,14,Arena Green / SAP Center,1
13,St James Park,16,SJSU - San Salvador at 9th,4
13,St James Park,84,Ryland Park,4
13,St James Park,80,Santa Clara County Civic Center,3
14,Arena Green / SAP Center,16,SJSU - San Salvador at 9th,2
14,Arena Green / SAP Center,84,Ryland Park,4
14,Arena Green / SAP Center,2,San Jose Diridon Caltrain Station,1
14,Arena Green / SAP Center,3,San Jose Civic Center,14
14,Arena Green / SAP Center,4,Santa Clara at Almaden,3
14,Arena Green / SAP Center,80,Santa Clara County Civic Center,8
14,Arena Green / SAP Center,5,Adobe on Almaden,3
14,Arena Green / SAP Center,6,San Pedro Square,9
14,Arena Green / SAP Center,7,Paseo de San Antonio,6
14,Arena Green / SAP Center,8,San Salvador at 1st,8
14,Arena Green / SAP Center,9,Japantown,8
14,Arena Green / SAP Center,11,MLK Library,5
14,Arena Green / SAP Center,12,SJSU 4th at San Carlos,7
14,Arena Green / SAP Center,13,St James Park,2
14,Arena Green / SAP Center,14,Arena Green / SAP Center,76
16,SJSU - San Salvador at 9th,16,SJSU - San Salvador at 9th,26
